x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,0,0,0,0,0,x,$,0,$,0,0,$,0,$,x,0,0,0,0,0,x
x,x,x,x,x,0,x,0,x,0,x,x,0,x,0,x,0,x,x,x,x,x
x,0,0,0,0,g,0,0,0,0,x,x,0,0,0,0,g,0,0,0,0,x
x,0,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,x,x,x,0,x
x,$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$,x
x,x,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,x,x,x,x,x
x,0,0,0,x,0,x,$,0,0,x,x,0,0,$,x,0,x,0,0,0,x
x,0,x,0,0,0,0,0,x,0,0,0,0,x,0,0,0,0,0,x,0,x
x,$,x,x,x,0,x,x,x,x,0,0,x,x,x,x,0,x,x,x,$,x
x,0,g,0,g,T,g,0,g,0,B,B,0,g,0,g,T,g,0,g,0,x
x,0,g,0,g,T,g,0,g,0,B,B,0,g,0,g,T,g,0,g,0,x
x,$,x,x,x,0,x,x,x,x,0,0,x,x,x,x,0,x,x,x,$,x
x,0,x,0,0,0,0,0,x,0,0,0,0,x,0,0,0,0,0,x,0,x
x,0,0,0,x,0,x,$,0,0,x,x,0,0,$,x,0,x,0,0,0,x
x,x,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,x,x,x,x,x
x,$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$,x
x,0,x,x,x,0,x,x,0,x,x,x,x,0,x,x,0,x,x,x,0,x
x,0,0,0,0,g,0,0,0,0,x,x,0,0,0,0,g,0,0,0,0,x
x,x,x,x,x,0,x,0,x,0,x,x,0,x,0,x,0,x,x,x,x,x
x,0,0,0,0,0,x,$,0,$,0,0,$,0,$,x,0,0,0,0,0,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
